25:4157 | fs=22 | Cormorant Gara | Instagram Strategy
25:4159 | fs=16 | Cormorant Gara | ✳
25:4161 | fs=22 | Cormorant Gara | Creator Marketing
25:4163 | fs=16 | Cormorant Gara | ✳
25:4165 | fs=22 | Cormorant Gara | Paid Social
25:4167 | fs=16 | Cormorant Gara | ✳
25:4169 | fs=22 | Cormorant Gara | AI Content Production
25:4171 | fs=16 | Cormorant Gara | ✳
25:4173 | fs=22 | Cormorant Gara | Brand Storytelling
25:4175 | fs=16 | Cormorant Gara | ✳
25:4177 | fs=22 | Cormorant Gara | Growth Experiments
I25:4179;25:3377 | fs=38 | Cormorant Gara | 27K+
I25:4179;25:3378 | fs=11.5 | Inter | 90 Days Views · MuseKey
I25:4183;25:3385 | fs=38 | Cormorant Gara | 700K+
I25:4183;25:3386 | fs=11.5 | Inter | Brand Exposure · DOME
I25:4187;25:3393 | fs=38 | Cormorant Gara | 1.43
I25:4187;25:3394 | fs=11.5 | Inter | Creator ROI · DOME
I25:4191;25:3401 | fs=38 | Cormorant Gara | +35%
I25:4191;25:3402 | fs=11.5 | Inter | Store Foot Traffic · DOME
I25:4195;25:3409 | fs=38 | Cormorant Gara | 4%+
I25:4195;25:3410 | fs=11.5 | Inter | IG Engagement · TopJob
I25:4199;25:3418 | fs=38 | Cormorant Gara | 4.14
I25:4199;25:3419 | fs=11.5 | Inter | Black Friday Ads ROI ·
I25:4199;25:3420 | fs=11.5 | Inter | TopJob
25:4207 | fs=12 | Inter | About
25:4209 | fs=56 |  | Aesthetics as the baseline, / data as the language
25:4214 | fs=30 |  | I'm Jenny — a social media and content / marketer focused on overseas markets. I've / built Instagram content 
25:4216 | fs=15.5 | Inter | My background in Visual Communication Design shapes how I write / briefs: never "list the product features," b
I25:4218;25:3428 | fs=15 | Inter | Brand Content Strategy
I25:4218;25:3429 | fs=13.5 | Inter | Content pillars, visual guidelines and editorial calendars built from
I25:4218;25:3430 | fs=13.5 | Inter | scratch; multi-brand content optimization
I25:4223;25:3438 | fs=15 | Inter | Creator Marketing 0→1
I25:4223;25:3439 | fs=13.5 | Inter | Sourcing, outreach playbooks and tiered collaboration across 50+
I25:4223;25:3440 | fs=13.5 | Inter | creators — from first DM to ROI tracking
I25:4228;25:3448 | fs=15 | Inter | Meta Paid Social
I25:4228;25:3449 | fs=13.5 | Inter | Hands-on Ads Manager, Pixel/CAPI tracking, controlled A/B tests
I25:4228;25:3450 | fs=13.5 | Inter | and experiment reviews
I25:4233;25:3458 | fs=15 | Inter | AI Content Production
I25:4233;25:3459 | fs=13.5 | Inter | Prompt engineering + visual QA workflows — Reels production at
I25:4233;25:3460 | fs=13.5 | Inter | ¥31–39 (≈ $4.6-4.9) per asset
25:4241 | fs=13 | Inter | SOCIAL MEDIA & CONTENT MARKETING — SHENZHEN / / NORTH AMERICA
25:4244 | fs=104 | Cormorant Gara | Jenny Wu,
25:4246 | fs=104 | Cormorant Gara | Global Brand
25:4248 | fs=104 | Cormorant Gara | Growth.
25:4250 | fs=17.5 |  | 3 years growing premium lifestyle, DTC e-commerce and / consumer hardware brands in overseas markets. A Visual
I25:4252;25:3464 | fs=14.5 | Inter | Selected Work
25:4258 | fs=12 | Inter | Currently Crafting
25:4259 | fs=13.5 | Inter | MuseKey · U.S. Market Entry
25:4263 | fs=12 | Inter | Experience
25:4265 | fs=56 |  | Four chapters, one storyline: / making brands seen overseas
I25:4266;25:3530 | fs=24 | Cormorant Gara | MuseKey
